Account Number,Account Holder,Bank Name,Account Type,Balance,Currency,Branch Code,Branch Name,Account Status,Creation Date
310652706382,Benjamin Adams,Clark-Lewis,Investment,803509.15,GBP,9522,Zacharyhaven,Suspended,2024-01-24
158345672780,James Ramos,"Powers, Cohen and Peterson",Investment,462437.04,AUD,1590,East Elizabeth,Inactive,2022-12-17
238022940420,Dominic Doyle,Rivera LLC,Checking,329629.17,JPY,2948,West Derek,Suspended,2018-01-03
224092400242,Matthew Levy,"Vega, Wallace and Bailey",Savings,822667.89,AUD,3603,Davismouth,Active,2023-12-28
215888931692,Emily Jackson,Vincent PLC,Credit,308439.0,JPY,1161,New David,Suspended,2014-10-16
127191457128,Jeffrey Jensen,"Beltran, Rodriguez and Robinson",Credit,582747.56,GBP,1808,Smithfort,Inactive,2019-01-19
199877141937,Scott Davis,"Maxwell, Deleon and Leonard",Investment,711349.38,JPY,1086,North Shannonmouth,Inactive,2019-07-27
269820192176,Renee Kaufman,Carpenter-Strickland,Credit,963911.29,EUR,4667,Port Robertton,Active,2020-08-21
240802929937,Brian Jackson,Newman-Diaz,Savings,510716.52,USD,7249,South Breannamouth,Active,2023-08-07
182585538878,Sarah Bean,Lewis LLC,Checking,688009.58,JPY,4710,Ortizmouth,Active,2017-01-18
226443120400,Anthony Byrd,Shelton PLC,Savings,555134.94,USD,7734,East Scottton,Inactive,2016-12-03
139718706348,Joshua Park,"Weaver, Carpenter and Everett",Checking,750127.19,AUD,6381,Amandamouth,Inactive,2019-05-10
213779286854,Sandra Hanson,Garcia-Gonzalez,Savings,776652.52,AUD,1186,Emilyland,Suspended,2015-05-28
459085914011,Anthony Estes,Hernandez-Gutierrez,Savings,239118.68,EUR,5106,Port Kevin,Inactive,2024-08-31
127530133559,Rachel Ward,"Harris, Smith and Cain",Investment,570556.05,EUR,1661,Mccoyfurt,Inactive,2016-09-30
273503622970,Amanda Brown,"Walker, Kent and Hughes",Checking,646027.08,USD,2170,Danielleville,Active,2015-11-30
101291437694,Jennifer Martinez,"Abbott, Chandler and Mcdonald",Savings,235899.5,AUD,4686,Bryantown,Suspended,2019-01-26
264926627092,Patricia Williams,Mclean-Adams,Credit,26166.37,GBP,6927,Rosefurt,Inactive,2018-01-12
146091481882,Robert Alexander,Barrett LLC,Credit,972621.41,GBP,1006,Barbaraport,Active,2020-05-18
137017967590,Cynthia Greene,"Morrison, Edwards and Harris",Investment,627931.17,EUR,8798,North Christinashire,Inactive,2015-07-07
188328617250,Rachel Garcia,Thompson and Sons,Savings,23317.66,JPY,1442,East Maryburgh,Inactive,2022-04-26
259846061474,Dustin Johnson,"Kemp, Russell and Martin",Checking,612291.53,JPY,9527,East Tinaland,Active,2023-09-29
281234403245,Mary Craig,Estrada-Franklin,Checking,274311.82,AUD,2436,Alecside,Inactive,2018-07-06
227520053244,Anthony Hanna,Herrera Group,Credit,753118.99,AUD,1156,North Jimmystad,Suspended,2019-09-15
274559657149,Joel Davis,Palmer-Mccoy,Investment,838237.47,AUD,2493,Glennmouth,Inactive,2023-06-23
360912947464,William Taylor,Mcfarland-Robertson,Savings,300672.58,AUD,8163,Lake Oliviaborough,Suspended,2022-03-09
116693569853,Joseph Adams,Burns Group,Savings,469963.53,USD,6571,East Allisonmouth,Active,2023-10-15
248371862179,Elizabeth Hudson,"Nguyen, Young and Thomas",Credit,825017.55,USD,1656,Donnatown,Inactive,2019-05-10
782469997160,Rodney Nash,Wright and Sons,Savings,236119.99,USD,1669,North Derek,Suspended,2018-10-01
270315709395,Gina Walker,"Hale, Walker and Norton",Checking,961264.75,EUR,7293,Ashleetown,Active,2023-10-29
596320227714,Tanya Shah,"Montoya, Fitzpatrick and Roberts",Investment,55259.79,GBP,6859,South Christopherburgh,Inactive,2015-04-18
298057419135,Chelsea Carr,Morris-Torres,Savings,662526.63,EUR,2486,Port Corybury,Active,2015-02-12
189251365819,William Henry,Matthews-Gilbert,Investment,929833.8,EUR,3227,Port Gabriela,Suspended,2023-10-04
277140164802,Jessica Wolfe,Jenkins-Burns,Checking,899005.81,JPY,6871,West Kyleton,Suspended,2016-09-23
